id,firstname,lastname,email,BirthDate,campus,Academic_year,contract_type,Company,Level,global_mark,Graduated,Satisfaction,Salon_etudiant,Duree_embauche,Graduated,Satisfaction,Salon_etudiant,Duree_embauche
1051,Catharine,Weide,Catharine.Weide@supinfo.com,1995-10-10,Paris,2019-2020,2,Carrefour,Bsc,44.6,Oui,69,Non,3,Oui,69,Non,3
1052,Ann-Marie,Lareena,Ann-Marie.Lareena@supinfo.com,1997-07-20,Paris,2019-2020,2,Carrefour,Msc2,31.61,Oui,38,Oui,6,Oui,38,Oui,6
1053,Paola,Creamer,Paola.Creamer@supinfo.com,1997-11-06,Paris,2019-2020,2,Enedis,Msc1,63.41,Non,12,Non,12,Non,12,Non,12
1054,Blake,Viddah,Blake.Viddah@supinfo.com,1996-07-04,Lyon,2019-2020,1,SNCF,Msc2,56.02,Non,4,Non,12,Non,4,Non,12
1055,Rosaline,Melleta,Rosaline.Melleta@supinfo.com,1999-11-06,Tours,2019-2020,1,BNP Paribas,Msc2,82.54,Oui,95,Non,24,Oui,95,Non,24
1056,Isa,Pyle,Isa.Pyle@supinfo.com,1999-01-24,Caen,2019-2020,1,BNP Paribas,Msc1,92.53,Non,74,Non,24,Non,74,Non,24
1057,Stephanie,Baptlsta,Stephanie.Baptlsta@supinfo.com,1994-06-01,Lyon,2019-2020,2,Engie,Msc1,79.96,Non,31,Oui,6,Non,31,Oui,6
1058,Catharine,Aurelio,Catharine.Aurelio@supinfo.com,1996-06-20,Lyon,2019-2020,2,Engie,Msc2,58.24,Oui,53,Non,24,Oui,53,Non,24
1059,Lexine,Thornburg,Lexine.Thornburg@supinfo.com,1994-02-12,Paris,2019-2020,1,LCL,Bsc,92.93,Oui,20,Non,3,Oui,20,Non,3
1060,Lorenza,Charity,Lorenza.Charity@supinfo.com,1999-05-01,Lyon,2019-2020,1,SNCF,Msc1,52.85,Oui,54,Non,18,Oui,54,Non,18
1061,Harmonia,Randene,Harmonia.Randene@supinfo.com,1996-01-05,Lille,2019-2020,1,Engie,Msc1,35.49,Oui,49,Oui,18,Oui,49,Oui,18
1062,Constance,Arathorn,Constance.Arathorn@supinfo.com,1994-05-09,Caen,2019-2020,2,EDF,Msc1,69.3,Oui,94,Non,24,Oui,94,Non,24
1063,Clementine,Baptlsta,Clementine.Baptlsta@supinfo.com,1999-10-03,Tours,2019-2020,2,SNCF,Bsc,72.8,Oui,40,Non,3,Oui,40,Non,3
1064,Betta,Bow,Betta.Bow@supinfo.com,1996-10-17,Lyon,2019-2020,1,Capgemini,Msc1,93.91,Non,40,Oui,3,Non,40,Oui,3
1065,Aili,Si,Aili.Si@supinfo.com,1999-02-04,Paris,2019-2020,2,Amazon,Msc1,49.77,Non,15,Oui,24,Non,15,Oui,24
1066,Deedee,O'Neill,Deedee.O'Neill@supinfo.com,1995-04-29,Lyon,2019-2020,2,RTE,Msc2,69.85,Oui,39,Oui,24,Oui,39,Oui,24
1067,Trixi,Cookie,Trixi.Cookie@supinfo.com,1999-02-11,Lyon,2019-2020,1,SNCF,Bsc,31.14,Non,48,Oui,6,Non,48,Oui,6
1068,Jobi,Teddman,Jobi.Teddman@supinfo.com,1999-09-11,Lyon,2019-2020,1,RTE,Msc2,83.13,Oui,72,Non,18,Oui,72,Non,18
1069,Laure,Harriman,Laure.Harriman@supinfo.com,1994-10-24,Caen,2019-2020,1,Talan,Msc1,79.97,Oui,91,Non,24,Oui,91,Non,24
1070,Konstance,Gwenore,Konstance.Gwenore@supinfo.com,1998-11-01,Tours,2019-2020,2,RTE,Msc1,48.79,Oui,30,Oui,12,Oui,30,Oui,12
1071,Linzy,Faria,Linzy.Faria@supinfo.com,1998-11-20,Lyon,2019-2020,1,Carrefour,Bsc,94.61,Oui,18,Non,18,Oui,18,Non,18
1072,Zia,Stuart,Zia.Stuart@supinfo.com,1996-11-22,Paris,2019-2020,1,LCL,Msc1,80.1,Oui,78,Non,6,Oui,78,Non,6
1073,Sherrie,Khorma,Sherrie.Khorma@supinfo.com,1999-04-22,Caen,2019-2020,1,LCL,Bsc,90.24,Non,49,Non,12,Non,49,Non,12
1074,Kellen,Kirstin,Kellen.Kirstin@supinfo.com,1994-02-22,Tours,2019-2020,1,EDF,Msc2,88.33,Non,78,Oui,6,Non,78,Oui,6
1075,Cyb,Ventre,Cyb.Ventre@supinfo.com,1994-09-27,Caen,2019-2020,2,Engie,Msc1,94.43,Oui,78,Non,6,Oui,78,Non,6
1076,Roz,Palocz,Roz.Palocz@supinfo.com,1994-01-09,Paris,2019-2020,2,BNP Paribas,Msc1,73.69,Oui,31,Oui,6,Oui,31,Oui,6
1077,Rivalee,Honoria,Rivalee.Honoria@supinfo.com,1997-11-21,Tours,2019-2020,2,Capgemini,Msc1,81.05,Oui,79,Oui,18,Oui,79,Oui,18
1078,Tani,Daveta,Tani.Daveta@supinfo.com,1995-02-04,Paris,2019-2020,2,LCL,Msc1,46.41,Oui,97,Oui,3,Oui,97,Oui,3
1079,Lizzie,Flyn,Lizzie.Flyn@supinfo.com,1995-06-17,Lyon,2019-2020,1,RTE,Msc2,47.86,Oui,93,Oui,3,Oui,93,Oui,3
1080,Isa,Jethro,Isa.Jethro@supinfo.com,1999-08-24,Tours,2019-2020,2,EDF,Msc2,40.62,Oui,89,Non,12,Oui,89,Non,12
1081,Cherilyn,Rese,Cherilyn.Rese@supinfo.com,1999-04-30,Lille,2019-2020,2,Carrefour,Msc2,71.64,Non,78,Oui,18,Non,78,Oui,18
1082,Siana,Birdella,Siana.Birdella@supinfo.com,1996-12-21,Paris,2019-2020,2,Talan,Bsc,72.49,Non,59,Non,18,Non,59,Non,18
1083,Nickie,Erich,Nickie.Erich@supinfo.com,1996-05-27,Lille,2019-2020,1,LCL,Msc2,40.36,Oui,72,Oui,3,Oui,72,Oui,3
1084,Priscilla,Edison,Priscilla.Edison@supinfo.com,1999-12-22,Lille,2019-2020,1,Carrefour,Msc2,55.79,Non,79,Oui,18,Non,79,Oui,18
1085,Harmonia,Kenwood,Harmonia.Kenwood@supinfo.com,1995-02-23,Caen,2019-2020,1,Carrefour,Bsc,33.95,Non,11,Oui,24,Non,11,Oui,24
1086,Shandie,Center,Shandie.Center@supinfo.com,1997-11-29,Paris,2019-2020,2,LCL,Msc1,55.34,Oui,13,Oui,18,Oui,13,Oui,18
1087,Antonietta,Lail,Antonietta.Lail@supinfo.com,1998-01-13,Caen,2019-2020,1,Amazon,Msc1,80.32,Oui,87,Non,18,Oui,87,Non,18
1088,Ronna,Franza,Ronna.Franza@supinfo.com,1999-06-26,Tours,2019-2020,1,Capgemini,Msc2,34.51,Non,85,Oui,24,Non,85,Oui,24
1089,Ana,Swigart,Ana.Swigart@supinfo.com,1994-08-26,Lyon,2019-2020,2,Engie,Bsc,34.95,Non,40,Oui,12,Non,40,Oui,12
1090,Barbi,Bari,Barbi.Bari@supinfo.com,1999-03-27,Paris,2019-2020,1,Capgemini,Msc1,82.43,Non,72,Oui,6,Non,72,Oui,6
1091,Willetta,Buffum,Willetta.Buffum@supinfo.com,1995-02-16,Lille,2019-2020,1,Amazon,Msc2,81.17,Non,82,Non,18,Non,82,Non,18
1092,Shandie,Maryanne,Shandie.Maryanne@supinfo.com,1995-09-26,Lille,2019-2020,2,EDF,Msc1,45.43,Non,87,Non,24,Non,87,Non,24
1093,Cristine,Yate,Cristine.Yate@supinfo.com,1994-09-07,Lyon,2019-2020,2,LCL,Msc2,37.6,Oui,29,Non,3,Oui,29,Non,3
1094,Ardys,Lemuela,Ardys.Lemuela@supinfo.com,1998-07-30,Lille,2019-2020,2,LCL,Bsc,71.38,Non,74,Oui,3,Non,74,Oui,3
1095,Lenna,Stelle,Lenna.Stelle@supinfo.com,1994-08-29,Tours,2019-2020,1,Engie,Msc1,48.1,Non,75,Oui,12,Non,75,Oui,12
1096,Rhea,Elsinore,Rhea.Elsinore@supinfo.com,1999-07-19,Tours,2019-2020,2,Capgemini,Msc2,70.56,Oui,41,Non,24,Oui,41,Non,24
1097,Sarette,Rillings,Sarette.Rillings@supinfo.com,1994-08-06,Lille,2019-2020,2,Talan,Bsc,92.05,Oui,35,Non,3,Oui,35,Non,3
1098,Janeczka,Delila,Janeczka.Delila@supinfo.com,1999-02-25,Paris,2019-2020,2,Amazon,Msc1,93.62,Oui,45,Oui,24,Oui,45,Oui,24
1099,Mahalia,Jorgan,Mahalia.Jorgan@supinfo.com,1998-01-10,Tours,2019-2020,2,Amazon,Msc1,67.99,Non,81,Non,24,Non,81,Non,24
1100,Diena,Weinreb,Diena.Weinreb@supinfo.com,1996-10-17,Lille,2019-2020,1,RTE,Msc1,71.7,Oui,40,Non,12,Oui,40,Non,12
1101,Peri,Chauncey,Peri.Chauncey@supinfo.com,1995-04-10,Tours,2019-2020,2,SNCF,Bsc,56.94,Oui,13,Oui,18,Oui,13,Oui,18
1102,Jaclyn,Aida,Jaclyn.Aida@supinfo.com,1994-01-18,Lille,2019-2020,1,Talan,Msc2,80.79,Oui,4,Non,12,Oui,4,Non,12
1103,Clary,Arvo,Clary.Arvo@supinfo.com,1996-07-29,Paris,2019-2020,2,Talan,Bsc,36.02,Non,99,Non,24,Non,99,Non,24
1104,Flo,Rhu,Flo.Rhu@supinfo.com,1998-05-05,Lille,2019-2020,2,SNCF,Msc2,82.52,Non,45,Oui,6,Non,45,Oui,6
1105,Di,Drus,Di.Drus@supinfo.com,1999-04-03,Paris,2019-2020,2,Amazon,Bsc,87.97,Oui,76,Oui,18,Oui,76,Oui,18
1106,Kirbee,Rosemary,Kirbee.Rosemary@supinfo.com,1995-09-24,Tours,2019-2020,1,Carrefour,Msc1,58.14,Oui,41,Non,24,Oui,41,Non,24
1107,Silvana,Lowry,Silvana.Lowry@supinfo.com,1998-01-03,Caen,2019-2020,2,Carrefour,Bsc,72.95,Non,91,Non,3,Non,91,Non,3
1108,Nannie,Eachern,Nannie.Eachern@supinfo.com,1999-10-25,Lille,2019-2020,2,RTE,Msc1,63.29,Oui,69,Oui,6,Oui,69,Oui,6
1109,Cherilyn,Nelsen,Cherilyn.Nelsen@supinfo.com,1998-08-19,Paris,2019-2020,1,Carrefour,Msc2,61.47,Oui,55,Oui,12,Oui,55,Oui,12
1110,Merry,Skell,Merry.Skell@supinfo.com,1997-03-02,Paris,2019-2020,1,Carrefour,Bsc,94.44,Non,11,Oui,18,Non,11,Oui,18
1111,Janeczka,Egbert,Janeczka.Egbert@supinfo.com,1997-05-10,Lille,2019-2020,1,Carrefour,Bsc,72.89,Non,21,Oui,6,Non,21,Oui,6
1112,Minda,Grimbly,Minda.Grimbly@supinfo.com,1995-12-24,Lille,2019-2020,1,Engie,Bsc,72.57,Oui,5,Non,12,Oui,5,Non,12
1113,Catharine,Georas,Catharine.Georas@supinfo.com,1997-12-23,Tours,2019-2020,1,RTE,Msc2,44.4,Oui,96,Non,6,Oui,96,Non,6
1114,Nollie,Keily,Nollie.Keily@supinfo.com,1996-04-04,Lille,2019-2020,1,SNCF,Bsc,32.57,Oui,26,Non,6,Oui,26,Non,6
1115,Vivia,Quinn,Vivia.Quinn@supinfo.com,1996-06-10,Lille,2019-2020,2,Amazon,Msc1,61.69,Oui,93,Oui,18,Oui,93,Oui,18
1116,Bernardine,Marlie,Bernardine.Marlie@supinfo.com,1998-11-24,Tours,2019-2020,1,Amazon,Msc1,46.21,Non,52,Non,18,Non,52,Non,18
1117,Roberta,Marsden,Roberta.Marsden@supinfo.com,1995-06-09,Tours,2019-2020,2,EDF,Msc2,69.74,Oui,6,Non,18,Oui,6,Non,18
1118,Kary,Eachern,Kary.Eachern@supinfo.com,1997-04-03,Lille,2019-2020,2,Amazon,Bsc,40.01,Non,2,Oui,3,Non,2,Oui,3
1119,Charmaine,Bandeen,Charmaine.Bandeen@supinfo.com,1998-08-17,Lyon,2019-2020,1,Carrefour,Msc1,80.03,Oui,19,Oui,12,Oui,19,Oui,12
1120,Codie,Dorcy,Codie.Dorcy@supinfo.com,1996-03-27,Lille,2019-2020,1,RTE,Msc2,59.9,Non,22,Non,6,Non,22,Non,6
1121,Nessie,Dreda,Nessie.Dreda@supinfo.com,1994-11-17,Paris,2019-2020,2,Capgemini,Bsc,67.16,Oui,57,Non,18,Oui,57,Non,18
1122,Vonny,Gherardo,Vonny.Gherardo@supinfo.com,1999-06-09,Lille,2019-2020,2,SNCF,Msc1,86.12,Non,25,Oui,24,Non,25,Oui,24
1123,Adelle,Dex,Adelle.Dex@supinfo.com,1996-12-18,Lille,2019-2020,2,Amazon,Bsc,64.23,Oui,65,Oui,3,Oui,65,Oui,3
1124,Robbi,Garbe,Robbi.Garbe@supinfo.com,1998-11-08,Caen,2019-2020,2,Talan,Msc2,68.19,Non,55,Oui,12,Non,55,Oui,12
1125,Isa,Ashely,Isa.Ashely@supinfo.com,1996-09-24,Lyon,2019-2020,1,SNCF,Msc2,83.02,Non,97,Non,6,Non,97,Non,6
1126,Kerrin,Telfer,Kerrin.Telfer@supinfo.com,1994-03-05,Tours,2019-2020,2,RTE,Bsc,67.07,Oui,19,Oui,24,Oui,19,Oui,24
1127,Jacquetta,Jerald,Jacquetta.Jerald@supinfo.com,1994-05-04,Tours,2019-2020,1,SNCF,Msc1,44.89,Non,53,Oui,6,Non,53,Oui,6
1128,Louella,Felecia,Louella.Felecia@supinfo.com,1994-07-28,Paris,2019-2020,2,Enedis,Bsc,69.04,Non,90,Oui,6,Non,90,Oui,6
1129,Fredericka,Clarissa,Fredericka.Clarissa@supinfo.com,1997-12-04,Caen,2019-2020,2,EDF,Msc1,95.42,Oui,36,Non,18,Oui,36,Non,18
1130,Yetty,Han,Yetty.Han@supinfo.com,1995-07-22,Lyon,2019-2020,2,RTE,Msc2,37.01,Oui,56,Oui,18,Oui,56,Oui,18
1131,Nollie,Hoban,Nollie.Hoban@supinfo.com,1995-11-24,Caen,2019-2020,2,Capgemini,Msc1,31.25,Oui,43,Non,24,Oui,43,Non,24
1132,Karly,Sheedy,Karly.Sheedy@supinfo.com,1996-02-10,Tours,2019-2020,2,EDF,Bsc,60.13,Non,100,Non,24,Non,100,Non,24
1133,Clary,Jagir,Clary.Jagir@supinfo.com,1999-05-22,Lille,2019-2020,1,Talan,Msc1,69.94,Non,49,Non,6,Non,49,Non,6
1134,Belinda,Stav,Belinda.Stav@supinfo.com,1999-07-03,Tours,2019-2020,2,LCL,Msc2,31.85,Non,5,Non,24,Non,5,Non,24
1135,Roz,Anyah,Roz.Anyah@supinfo.com,1997-08-10,Lyon,2019-2020,2,LCL,Bsc,44.84,Oui,5,Non,6,Oui,5,Non,6
1136,Dawn,Swigart,Dawn.Swigart@supinfo.com,1997-11-18,Lille,2019-2020,1,Amazon,Msc1,80.57,Non,99,Non,12,Non,99,Non,12
1137,Corly,Koziara,Corly.Koziara@supinfo.com,1997-03-27,Paris,2019-2020,2,RTE,Msc2,62.11,Oui,98,Oui,18,Oui,98,Oui,18
1138,Elyssa,Alva,Elyssa.Alva@supinfo.com,1994-11-28,Lille,2019-2020,1,EDF,Bsc,59.39,Non,53,Non,12,Non,53,Non,12
1139,Bill,Hedve,Bill.Hedve@supinfo.com,1994-09-29,Caen,2019-2020,1,Carrefour,Msc1,82.64,Oui,75,Oui,12,Oui,75,Oui,12
1140,Rosaline,Lesley,Rosaline.Lesley@supinfo.com,1998-08-08,Lyon,2019-2020,2,SNCF,Msc1,89.99,Oui,59,Non,3,Oui,59,Non,3
1141,Ernesta,Ezar,Ernesta.Ezar@supinfo.com,1995-09-04,Lyon,2019-2020,2,Carrefour,Msc1,64.17,Oui,52,Oui,6,Oui,52,Oui,6
1142,Roseline,Toffic,Roseline.Toffic@supinfo.com,1999-01-25,Tours,2019-2020,2,Talan,Msc2,55.9,Oui,22,Non,6,Oui,22,Non,6
1143,Gwenneth,Burnside,Gwenneth.Burnside@supinfo.com,1995-09-15,Lyon,2019-2020,2,LCL,Msc1,37.57,Oui,26,Oui,24,Oui,26,Oui,24
1144,Norine,Jerold,Norine.Jerold@supinfo.com,1995-06-27,Paris,2019-2020,2,Carrefour,Msc2,77.39,Non,7,Non,18,Non,7,Non,18
1145,Regina,Ackerley,Regina.Ackerley@supinfo.com,1995-05-06,Lille,2019-2020,1,EDF,Msc1,72.03,Non,25,Non,24,Non,25,Non,24
1146,Miquela,Baylor,Miquela.Baylor@supinfo.com,1997-12-11,Tours,2019-2020,1,LCL,Msc1,82.91,Non,38,Oui,3,Non,38,Oui,3
1147,Katuscha,Georas,Katuscha.Georas@supinfo.com,1997-09-29,Lille,2019-2020,2,SNCF,Msc2,63.74,Non,13,Oui,24,Non,13,Oui,24
1148,Tersina,Stevy,Tersina.Stevy@supinfo.com,1994-04-12,Lyon,2019-2020,2,EDF,Msc1,49.18,Non,12,Oui,18,Non,12,Oui,18
1149,Anthia,Ajay,Anthia.Ajay@supinfo.com,1998-05-13,Lyon,2019-2020,1,EDF,Msc1,61.18,Oui,45,Oui,6,Oui,45,Oui,6
1150,Codie,Ellerey,Codie.Ellerey@supinfo.com,1999-07-19,Caen,2019-2020,1,Amazon,Msc1,62.35,Oui,69,Oui,6,Oui,69,Oui,6
1151,Renie,McCutcheon,Renie.McCutcheon@supinfo.com,1995-02-01,Lille,2019-2020,2,RTE,Msc1,81.01,Oui,92,Non,6,Oui,92,Non,6
1152,Elbertina,Nadia,Elbertina.Nadia@supinfo.com,1999-06-29,Tours,2019-2020,2,Talan,Msc1,53.23,Non,8,Oui,12,Non,8,Oui,12
1153,Olivette,Hailee,Olivette.Hailee@supinfo.com,1999-03-22,Paris,2019-2020,2,Amazon,Msc1,64.58,Oui,97,Non,18,Oui,97,Non,18
1154,Marguerite,Audly,Marguerite.Audly@supinfo.com,1995-08-29,Caen,2019-2020,1,Carrefour,Msc1,47.25,Non,68,Oui,3,Non,68,Oui,3
1155,Eadie,Loleta,Eadie.Loleta@supinfo.com,1999-06-26,Lille,2019-2020,1,RTE,Bsc,79.08,Non,82,Oui,6,Non,82,Oui,6
1156,Mallory,Shaver,Mallory.Shaver@supinfo.com,1994-09-10,Tours,2019-2020,2,Amazon,Msc2,47.27,Non,0,Oui,3,Non,0,Oui,3
1157,Veda,Schonfeld,Veda.Schonfeld@supinfo.com,1994-06-25,Lille,2019-2020,1,Engie,Bsc,72.1,Non,63,Oui,18,Non,63,Oui,18
1158,Cam,Thornburg,Cam.Thornburg@supinfo.com,1994-01-18,Tours,2019-2020,2,LCL,Msc1,37.07,Oui,52,Oui,18,Oui,52,Oui,18
1159,Corene,Natalia,Corene.Natalia@supinfo.com,1996-12-06,Paris,2019-2020,2,Talan,Msc1,41.86,Non,46,Non,3,Non,46,Non,3
1160,Gabi,Cassius,Gabi.Cassius@supinfo.com,1995-04-03,Lille,2019-2020,2,Amazon,Msc1,60.2,Oui,42,Non,6,Oui,42,Non,6
1161,Camile,Ricki,Camile.Ricki@supinfo.com,1998-02-11,Caen,2019-2020,2,LCL,Msc2,63.03,Non,58,Oui,6,Non,58,Oui,6
