id,firstname,lastname,email,BirthDate,campus,Academic_year,contract_type,Company,Level,global_mark
1039,Marinna,Regan,Marinna.Regan@supinfo.com,1995-07-28,Lyon,2019-2020,1,Enedis,Msc1,35.19
1040,Cassandra,Atcliffe,Cassandra.Atcliffe@supinfo.com,1996-03-04,Paris,2019-2020,2,RTE,Bsc,83.14
1041,Kellen,Voletta,Kellen.Voletta@supinfo.com,1995-03-27,Tours,2019-2020,1,RTE,Msc2,66.88
1042,Stephanie,Abbot,Stephanie.Abbot@supinfo.com,1997-01-27,Lyon,2019-2020,1,Talan,Bsc,35.73
1043,Frank,Bultman,Frank.Bultman@supinfo.com,1999-06-15,Lyon,2019-2020,2,Talan,Bsc,73.95
1044,Trudie,Elo,Trudie.Elo@supinfo.com,1996-03-26,Paris,2019-2020,1,Amazon,Msc2,47.47
1045,Karly,Ade,Karly.Ade@supinfo.com,1994-02-14,Caen,2019-2020,2,Enedis,Msc2,53.16
1046,Theodora,Thomasina,Theodora.Thomasina@supinfo.com,1999-12-12,Caen,2019-2020,2,Carrefour,Msc2,82.5
1047,Nerta,Ventre,Nerta.Ventre@supinfo.com,1999-06-07,Caen,2019-2020,2,Capgemini,Bsc,95.89
1048,Daphne,Lalitta,Daphne.Lalitta@supinfo.com,1995-07-06,Paris,2019-2020,2,Capgemini,Msc2,80.74
1049,Consuela,Garbe,Consuela.Garbe@supinfo.com,1999-09-11,Lille,2019-2020,2,SNCF,Msc1,49.75
1050,Corly,Dominy,Corly.Dominy@supinfo.com,1995-10-12,Lyon,2019-2020,1,SNCF,Msc2,82.69
1051,Catharine,Weide,Catharine.Weide@supinfo.com,1995-10-10,Paris,2019-2020,2,Carrefour,Bsc,44.6
1052,Ann-Marie,Lareena,Ann-Marie.Lareena@supinfo.com,1997-07-20,Paris,2019-2020,2,Carrefour,Msc2,31.61
1053,Paola,Creamer,Paola.Creamer@supinfo.com,1997-11-06,Paris,2019-2020,2,Enedis,Msc1,63.41
1054,Blake,Viddah,Blake.Viddah@supinfo.com,1996-07-04,Lyon,2019-2020,1,SNCF,Msc2,56.02
1055,Rosaline,Melleta,Rosaline.Melleta@supinfo.com,1999-11-06,Tours,2019-2020,1,BNP Paribas,Msc2,82.54
1056,Isa,Pyle,Isa.Pyle@supinfo.com,1999-01-24,Caen,2019-2020,1,BNP Paribas,Msc1,92.53
1057,Stephanie,Baptlsta,Stephanie.Baptlsta@supinfo.com,1994-06-01,Lyon,2019-2020,2,Engie,Msc1,79.96
1058,Catharine,Aurelio,Catharine.Aurelio@supinfo.com,1996-06-20,Lyon,2019-2020,2,Engie,Msc2,58.24
1059,Lexine,Thornburg,Lexine.Thornburg@supinfo.com,1994-02-12,Paris,2019-2020,1,LCL,Bsc,92.93
1060,Lorenza,Charity,Lorenza.Charity@supinfo.com,1999-05-01,Lyon,2019-2020,1,SNCF,Msc1,52.85
1061,Harmonia,Randene,Harmonia.Randene@supinfo.com,1996-01-05,Lille,2019-2020,1,Engie,Msc1,35.49
1062,Constance,Arathorn,Constance.Arathorn@supinfo.com,1994-05-09,Caen,2019-2020,2,EDF,Msc1,69.3
1063,Clementine,Baptlsta,Clementine.Baptlsta@supinfo.com,1999-10-03,Tours,2019-2020,2,SNCF,Bsc,72.8
1064,Betta,Bow,Betta.Bow@supinfo.com,1996-10-17,Lyon,2019-2020,1,Capgemini,Msc1,93.91
1065,Aili,Si,Aili.Si@supinfo.com,1999-02-04,Paris,2019-2020,2,Amazon,Msc1,49.77
1066,Deedee,O'Neill,Deedee.O'Neill@supinfo.com,1995-04-29,Lyon,2019-2020,2,RTE,Msc2,69.85
1067,Trixi,Cookie,Trixi.Cookie@supinfo.com,1999-02-11,Lyon,2019-2020,1,SNCF,Bsc,31.14
1068,Jobi,Teddman,Jobi.Teddman@supinfo.com,1999-09-11,Lyon,2019-2020,1,RTE,Msc2,83.13
1069,Laure,Harriman,Laure.Harriman@supinfo.com,1994-10-24,Caen,2019-2020,1,Talan,Msc1,79.97
1070,Konstance,Gwenore,Konstance.Gwenore@supinfo.com,1998-11-01,Tours,2019-2020,2,RTE,Msc1,48.79
1071,Linzy,Faria,Linzy.Faria@supinfo.com,1998-11-20,Lyon,2019-2020,1,Carrefour,Bsc,94.61
1072,Zia,Stuart,Zia.Stuart@supinfo.com,1996-11-22,Paris,2019-2020,1,LCL,Msc1,80.1
1073,Sherrie,Khorma,Sherrie.Khorma@supinfo.com,1999-04-22,Caen,2019-2020,1,LCL,Bsc,90.24
1074,Kellen,Kirstin,Kellen.Kirstin@supinfo.com,1994-02-22,Tours,2019-2020,1,EDF,Msc2,88.33
1075,Cyb,Ventre,Cyb.Ventre@supinfo.com,1994-09-27,Caen,2019-2020,2,Engie,Msc1,94.43
1076,Roz,Palocz,Roz.Palocz@supinfo.com,1994-01-09,Paris,2019-2020,2,BNP Paribas,Msc1,73.69
1077,Rivalee,Honoria,Rivalee.Honoria@supinfo.com,1997-11-21,Tours,2019-2020,2,Capgemini,Msc1,81.05
1078,Tani,Daveta,Tani.Daveta@supinfo.com,1995-02-04,Paris,2019-2020,2,LCL,Msc1,46.41
1079,Lizzie,Flyn,Lizzie.Flyn@supinfo.com,1995-06-17,Lyon,2019-2020,1,RTE,Msc2,47.86
1080,Isa,Jethro,Isa.Jethro@supinfo.com,1999-08-24,Tours,2019-2020,2,EDF,Msc2,40.62
1081,Cherilyn,Rese,Cherilyn.Rese@supinfo.com,1999-04-30,Lille,2019-2020,2,Carrefour,Msc2,71.64
1082,Siana,Birdella,Siana.Birdella@supinfo.com,1996-12-21,Paris,2019-2020,2,Talan,Bsc,72.49
1083,Nickie,Erich,Nickie.Erich@supinfo.com,1996-05-27,Lille,2019-2020,1,LCL,Msc2,40.36
1084,Priscilla,Edison,Priscilla.Edison@supinfo.com,1999-12-22,Lille,2019-2020,1,Carrefour,Msc2,55.79
1085,Harmonia,Kenwood,Harmonia.Kenwood@supinfo.com,1995-02-23,Caen,2019-2020,1,Carrefour,Bsc,33.95
1086,Shandie,Center,Shandie.Center@supinfo.com,1997-11-29,Paris,2019-2020,2,LCL,Msc1,55.34
1087,Antonietta,Lail,Antonietta.Lail@supinfo.com,1998-01-13,Caen,2019-2020,1,Amazon,Msc1,80.32
1088,Ronna,Franza,Ronna.Franza@supinfo.com,1999-06-26,Tours,2019-2020,1,Capgemini,Msc2,34.51
1089,Ana,Swigart,Ana.Swigart@supinfo.com,1994-08-26,Lyon,2019-2020,2,Engie,Bsc,34.95
1090,Barbi,Bari,Barbi.Bari@supinfo.com,1999-03-27,Paris,2019-2020,1,Capgemini,Msc1,82.43
1091,Willetta,Buffum,Willetta.Buffum@supinfo.com,1995-02-16,Lille,2019-2020,1,Amazon,Msc2,81.17
1092,Shandie,Maryanne,Shandie.Maryanne@supinfo.com,1995-09-26,Lille,2019-2020,2,EDF,Msc1,45.43
1093,Cristine,Yate,Cristine.Yate@supinfo.com,1994-09-07,Lyon,2019-2020,2,LCL,Msc2,37.6
1094,Ardys,Lemuela,Ardys.Lemuela@supinfo.com,1998-07-30,Lille,2019-2020,2,LCL,Bsc,71.38
1095,Lenna,Stelle,Lenna.Stelle@supinfo.com,1994-08-29,Tours,2019-2020,1,Engie,Msc1,48.1
1096,Rhea,Elsinore,Rhea.Elsinore@supinfo.com,1999-07-19,Tours,2019-2020,2,Capgemini,Msc2,70.56
1097,Sarette,Rillings,Sarette.Rillings@supinfo.com,1994-08-06,Lille,2019-2020,2,Talan,Bsc,92.05
1098,Janeczka,Delila,Janeczka.Delila@supinfo.com,1999-02-25,Paris,2019-2020,2,Amazon,Msc1,93.62
1099,Mahalia,Jorgan,Mahalia.Jorgan@supinfo.com,1998-01-10,Tours,2019-2020,2,Amazon,Msc1,67.99
1100,Diena,Weinreb,Diena.Weinreb@supinfo.com,1996-10-17,Lille,2019-2020,1,RTE,Msc1,71.7
1101,Peri,Chauncey,Peri.Chauncey@supinfo.com,1995-04-10,Tours,2019-2020,2,SNCF,Bsc,56.94
1102,Jaclyn,Aida,Jaclyn.Aida@supinfo.com,1994-01-18,Lille,2019-2020,1,Talan,Msc2,80.79
1103,Clary,Arvo,Clary.Arvo@supinfo.com,1996-07-29,Paris,2019-2020,2,Talan,Bsc,36.02
1104,Flo,Rhu,Flo.Rhu@supinfo.com,1998-05-05,Lille,2019-2020,2,SNCF,Msc2,82.52
1105,Di,Drus,Di.Drus@supinfo.com,1999-04-03,Paris,2019-2020,2,Amazon,Bsc,87.97
1106,Kirbee,Rosemary,Kirbee.Rosemary@supinfo.com,1995-09-24,Tours,2019-2020,1,Carrefour,Msc1,58.14
1107,Silvana,Lowry,Silvana.Lowry@supinfo.com,1998-01-03,Caen,2019-2020,2,Carrefour,Bsc,72.95
1108,Nannie,Eachern,Nannie.Eachern@supinfo.com,1999-10-25,Lille,2019-2020,2,RTE,Msc1,63.29
1109,Cherilyn,Nelsen,Cherilyn.Nelsen@supinfo.com,1998-08-19,Paris,2019-2020,1,Carrefour,Msc2,61.47
1110,Merry,Skell,Merry.Skell@supinfo.com,1997-03-02,Paris,2019-2020,1,Carrefour,Bsc,94.44
1111,Janeczka,Egbert,Janeczka.Egbert@supinfo.com,1997-05-10,Lille,2019-2020,1,Carrefour,Bsc,72.89
1112,Minda,Grimbly,Minda.Grimbly@supinfo.com,1995-12-24,Lille,2019-2020,1,Engie,Bsc,72.57
1113,Catharine,Georas,Catharine.Georas@supinfo.com,1997-12-23,Tours,2019-2020,1,RTE,Msc2,44.4
1114,Nollie,Keily,Nollie.Keily@supinfo.com,1996-04-04,Lille,2019-2020,1,SNCF,Bsc,32.57
1115,Vivia,Quinn,Vivia.Quinn@supinfo.com,1996-06-10,Lille,2019-2020,2,Amazon,Msc1,61.69
1116,Bernardine,Marlie,Bernardine.Marlie@supinfo.com,1998-11-24,Tours,2019-2020,1,Amazon,Msc1,46.21
1117,Roberta,Marsden,Roberta.Marsden@supinfo.com,1995-06-09,Tours,2019-2020,2,EDF,Msc2,69.74
1118,Kary,Eachern,Kary.Eachern@supinfo.com,1997-04-03,Lille,2019-2020,2,Amazon,Bsc,40.01
1119,Charmaine,Bandeen,Charmaine.Bandeen@supinfo.com,1998-08-17,Lyon,2019-2020,1,Carrefour,Msc1,80.03
1120,Codie,Dorcy,Codie.Dorcy@supinfo.com,1996-03-27,Lille,2019-2020,1,RTE,Msc2,59.9
1121,Nessie,Dreda,Nessie.Dreda@supinfo.com,1994-11-17,Paris,2019-2020,2,Capgemini,Bsc,67.16
1122,Vonny,Gherardo,Vonny.Gherardo@supinfo.com,1999-06-09,Lille,2019-2020,2,SNCF,Msc1,86.12
1123,Adelle,Dex,Adelle.Dex@supinfo.com,1996-12-18,Lille,2019-2020,2,Amazon,Bsc,64.23
1124,Robbi,Garbe,Robbi.Garbe@supinfo.com,1998-11-08,Caen,2019-2020,2,Talan,Msc2,68.19
1125,Isa,Ashely,Isa.Ashely@supinfo.com,1996-09-24,Lyon,2019-2020,1,SNCF,Msc2,83.02
1126,Kerrin,Telfer,Kerrin.Telfer@supinfo.com,1994-03-05,Tours,2019-2020,2,RTE,Bsc,67.07
1127,Jacquetta,Jerald,Jacquetta.Jerald@supinfo.com,1994-05-04,Tours,2019-2020,1,SNCF,Msc1,44.89
1128,Louella,Felecia,Louella.Felecia@supinfo.com,1994-07-28,Paris,2019-2020,2,Enedis,Bsc,69.04
1129,Fredericka,Clarissa,Fredericka.Clarissa@supinfo.com,1997-12-04,Caen,2019-2020,2,EDF,Msc1,95.42
1130,Yetty,Han,Yetty.Han@supinfo.com,1995-07-22,Lyon,2019-2020,2,RTE,Msc2,37.01
1131,Nollie,Hoban,Nollie.Hoban@supinfo.com,1995-11-24,Caen,2019-2020,2,Capgemini,Msc1,31.25
1132,Karly,Sheedy,Karly.Sheedy@supinfo.com,1996-02-10,Tours,2019-2020,2,EDF,Bsc,60.13
1133,Clary,Jagir,Clary.Jagir@supinfo.com,1999-05-22,Lille,2019-2020,1,Talan,Msc1,69.94
1134,Belinda,Stav,Belinda.Stav@supinfo.com,1999-07-03,Tours,2019-2020,2,LCL,Msc2,31.85
1135,Roz,Anyah,Roz.Anyah@supinfo.com,1997-08-10,Lyon,2019-2020,2,LCL,Bsc,44.84
1136,Dawn,Swigart,Dawn.Swigart@supinfo.com,1997-11-18,Lille,2019-2020,1,Amazon,Msc1,80.57
1137,Corly,Koziara,Corly.Koziara@supinfo.com,1997-03-27,Paris,2019-2020,2,RTE,Msc2,62.11
1138,Elyssa,Alva,Elyssa.Alva@supinfo.com,1994-11-28,Lille,2019-2020,1,EDF,Bsc,59.39
1139,Bill,Hedve,Bill.Hedve@supinfo.com,1994-09-29,Caen,2019-2020,1,Carrefour,Msc1,82.64
1140,Rosaline,Lesley,Rosaline.Lesley@supinfo.com,1998-08-08,Lyon,2019-2020,2,SNCF,Msc1,89.99
1141,Ernesta,Ezar,Ernesta.Ezar@supinfo.com,1995-09-04,Lyon,2019-2020,2,Carrefour,Msc1,64.17
1142,Roseline,Toffic,Roseline.Toffic@supinfo.com,1999-01-25,Tours,2019-2020,2,Talan,Msc2,55.9
1143,Gwenneth,Burnside,Gwenneth.Burnside@supinfo.com,1995-09-15,Lyon,2019-2020,2,LCL,Msc1,37.57
1144,Norine,Jerold,Norine.Jerold@supinfo.com,1995-06-27,Paris,2019-2020,2,Carrefour,Msc2,77.39
1145,Regina,Ackerley,Regina.Ackerley@supinfo.com,1995-05-06,Lille,2019-2020,1,EDF,Msc1,72.03
1146,Miquela,Baylor,Miquela.Baylor@supinfo.com,1997-12-11,Tours,2019-2020,1,LCL,Msc1,82.91
1147,Katuscha,Georas,Katuscha.Georas@supinfo.com,1997-09-29,Lille,2019-2020,2,SNCF,Msc2,63.74
1148,Tersina,Stevy,Tersina.Stevy@supinfo.com,1994-04-12,Lyon,2019-2020,2,EDF,Msc1,49.18
1149,Anthia,Ajay,Anthia.Ajay@supinfo.com,1998-05-13,Lyon,2019-2020,1,EDF,Msc1,61.18
1150,Codie,Ellerey,Codie.Ellerey@supinfo.com,1999-07-19,Caen,2019-2020,1,Amazon,Msc1,62.35
1151,Renie,McCutcheon,Renie.McCutcheon@supinfo.com,1995-02-01,Lille,2019-2020,2,RTE,Msc1,81.01
1152,Elbertina,Nadia,Elbertina.Nadia@supinfo.com,1999-06-29,Tours,2019-2020,2,Talan,Msc1,53.23
1153,Olivette,Hailee,Olivette.Hailee@supinfo.com,1999-03-22,Paris,2019-2020,2,Amazon,Msc1,64.58
1154,Marguerite,Audly,Marguerite.Audly@supinfo.com,1995-08-29,Caen,2019-2020,1,Carrefour,Msc1,47.25
1155,Eadie,Loleta,Eadie.Loleta@supinfo.com,1999-06-26,Lille,2019-2020,1,RTE,Bsc,79.08
1156,Mallory,Shaver,Mallory.Shaver@supinfo.com,1994-09-10,Tours,2019-2020,2,Amazon,Msc2,47.27
1157,Veda,Schonfeld,Veda.Schonfeld@supinfo.com,1994-06-25,Lille,2019-2020,1,Engie,Bsc,72.1
1158,Cam,Thornburg,Cam.Thornburg@supinfo.com,1994-01-18,Tours,2019-2020,2,LCL,Msc1,37.07
1159,Corene,Natalia,Corene.Natalia@supinfo.com,1996-12-06,Paris,2019-2020,2,Talan,Msc1,41.86
1160,Gabi,Cassius,Gabi.Cassius@supinfo.com,1995-04-03,Lille,2019-2020,2,Amazon,Msc1,60.2
1161,Camile,Ricki,Camile.Ricki@supinfo.com,1998-02-11,Caen,2019-2020,2,LCL,Msc2,63.03
1162,Cassondra,Paine,Cassondra.Paine@supinfo.com,1994-09-07,Caen,2019-2020,2,RTE,Msc1,44.32
1163,Fawne,Genna,Fawne.Genna@supinfo.com,1996-03-14,Paris,2019-2020,1,BNP Paribas,Bsc,95.05
1164,Tera,Philipp,Tera.Philipp@supinfo.com,1996-03-18,Caen,2019-2020,1,Amazon,Bsc,84.19
1165,Leeanne,Goth,Leeanne.Goth@supinfo.com,1996-12-21,Caen,2019-2020,2,Enedis,Msc2,56.12
1166,Rivalee,Monk,Rivalee.Monk@supinfo.com,1997-11-17,Lille,2019-2020,1,SNCF,Msc2,52.56
1167,Eadie,Emerson,Eadie.Emerson@supinfo.com,1999-11-07,Lyon,2019-2020,2,Engie,Msc1,54.95
1168,Cassandra,Yuille,Cassandra.Yuille@supinfo.com,1999-12-11,Paris,2019-2020,2,Talan,Msc1,94.82
1169,Elbertina,Teryn,Elbertina.Teryn@supinfo.com,1995-06-11,Lille,2019-2020,1,Amazon,Msc2,53.68
1170,Yolane,O'Carroll,Yolane.O'Carroll@supinfo.com,1995-07-03,Lille,2019-2020,2,BNP Paribas,Msc1,83.39
1171,Cyb,Yoko,Cyb.Yoko@supinfo.com,1999-12-14,Tours,2019-2020,2,EDF,Bsc,84.3
1172,Georgetta,Herrera,Georgetta.Herrera@supinfo.com,1995-12-30,Lille,2019-2020,1,Carrefour,Msc1,92.51
1173,Christal,Brieta,Christal.Brieta@supinfo.com,1995-03-15,Lille,2019-2020,2,Engie,Msc2,45.93
1174,Augustine,Vittoria,Augustine.Vittoria@supinfo.com,1995-05-09,Lille,2019-2020,1,EDF,Msc2,55.27
1175,Stephanie,Dreda,Stephanie.Dreda@supinfo.com,1996-06-20,Tours,2019-2020,2,LCL,Bsc,78.89
1176,Rochette,Telfer,Rochette.Telfer@supinfo.com,1996-09-13,Paris,2019-2020,1,BNP Paribas,Msc1,78.75
1177,Bobinette,Bluh,Bobinette.Bluh@supinfo.com,1994-05-09,Lille,2019-2020,2,Capgemini,Msc1,38.11
1178,Elie,Roumell,Elie.Roumell@supinfo.com,1994-08-13,Tours,2019-2020,2,SNCF,Msc2,39.3
1179,Kerrin,Infield,Kerrin.Infield@supinfo.com,1995-02-16,Paris,2019-2020,2,Capgemini,Msc1,76.54
1180,Jere,Wareing,Jere.Wareing@supinfo.com,1997-03-14,Lyon,2019-2020,2,Amazon,Msc2,91.56
1181,Nicoli,Camden,Nicoli.Camden@supinfo.com,1995-06-25,Paris,2019-2020,2,Engie,Msc1,40.62
1182,Joceline,Lissi,Joceline.Lissi@supinfo.com,1997-01-19,Tours,2019-2020,1,RTE,Msc2,72.6
1183,Imojean,Wolfgram,Imojean.Wolfgram@supinfo.com,1998-10-23,Caen,2019-2020,1,EDF,Msc1,51.63
1184,Tomasina,Phaidra,Tomasina.Phaidra@supinfo.com,1998-11-28,Tours,2019-2020,1,RTE,Msc2,88.18
1185,Candy,Thunell,Candy.Thunell@supinfo.com,1994-08-04,Paris,2019-2020,2,SNCF,Bsc,47.15
1186,Alyda,Sigfrid,Alyda.Sigfrid@supinfo.com,1995-04-06,Tours,2019-2020,2,Amazon,Msc1,30.56
1187,Sharlene,Firmin,Sharlene.Firmin@supinfo.com,1996-01-20,Tours,2019-2020,2,EDF,Msc1,38.47
1188,Pearline,Carleen,Pearline.Carleen@supinfo.com,1995-05-16,Lille,2019-2020,1,LCL,Bsc,56.65
1189,Melanie,Belldas,Melanie.Belldas@supinfo.com,1997-10-09,Caen,2019-2020,2,Talan,Msc2,58.84
1190,Amalie,Cullin,Amalie.Cullin@supinfo.com,1995-07-02,Tours,2019-2020,2,Talan,Bsc,62.2
1191,Juliane,Bonilla,Juliane.Bonilla@supinfo.com,1997-03-24,Caen,2019-2020,2,Capgemini,Msc1,74.67
1192,Kary,Pulsifer,Kary.Pulsifer@supinfo.com,1997-12-19,Lyon,2019-2020,2,LCL,Msc1,46.24
1193,Lynea,Francene,Lynea.Francene@supinfo.com,1997-07-06,Lyon,2019-2020,2,Carrefour,Bsc,89.73
1194,Kellen,Corabella,Kellen.Corabella@supinfo.com,1996-02-02,Tours,2019-2020,1,Engie,Bsc,58.71
1195,Lexine,Palocz,Lexine.Palocz@supinfo.com,1997-04-19,Caen,2019-2020,1,Amazon,Bsc,65.99
1196,Theodora,Niles,Theodora.Niles@supinfo.com,1995-02-06,Tours,2019-2020,1,EDF,Msc1,74.61
1197,Emma,Wattenberg,Emma.Wattenberg@supinfo.com,1995-02-01,Paris,2019-2020,2,RTE,Bsc,72.81
1198,Candi,Minetta,Candi.Minetta@supinfo.com,1998-06-08,Paris,2019-2020,2,Capgemini,Bsc,65.12
1199,Pamella,Chem,Pamella.Chem@supinfo.com,1994-04-26,Tours,2019-2020,1,EDF,Msc2,31.88
1200,Leona,Stephie,Leona.Stephie@supinfo.com,1996-06-12,Lille,2019-2020,2,BNP Paribas,Msc1,57.78
1201,Britni,Zaslow,Britni.Zaslow@supinfo.com,1996-11-16,Caen,2019-2020,1,SNCF,Bsc,34.03
1202,Dede,Sallyann,Dede.Sallyann@supinfo.com,1999-01-10,Lyon,2019-2020,2,Enedis,Msc1,68.68
1203,Allis,Goerke,Allis.Goerke@supinfo.com,1994-06-15,Lille,2019-2020,2,RTE,Msc2,79.94
1204,Leeanne,Urias,Leeanne.Urias@supinfo.com,1995-07-22,Caen,2019-2020,1,Talan,Msc1,88.89
1205,Verla,Fink,Verla.Fink@supinfo.com,1997-10-21,Tours,2019-2020,1,RTE,Bsc,37.56
1206,Florie,Roumell,Florie.Roumell@supinfo.com,1996-10-06,Paris,2019-2020,2,LCL,Bsc,80.73
1207,Deloria,Jerald,Deloria.Jerald@supinfo.com,1995-07-31,Lyon,2019-2020,2,Carrefour,Bsc,95.54
1208,Vevay,Wadell,Vevay.Wadell@supinfo.com,1994-03-08,Caen,2019-2020,1,RTE,Msc2,86.01
1209,Janis,Olnee,Janis.Olnee@supinfo.com,1999-10-25,Lyon,2019-2020,2,Carrefour,Msc2,59.95
1210,Rosabelle,Nisbet,Rosabelle.Nisbet@supinfo.com,1995-09-02,Lyon,2019-2020,1,RTE,Msc1,34.71
1211,Helsa,Erminia,Helsa.Erminia@supinfo.com,1998-07-10,Lille,2019-2020,1,LCL,Bsc,79.3
1212,Tilly,Longfellow,Tilly.Longfellow@supinfo.com,1998-05-23,Caen,2019-2020,2,Carrefour,Msc1,56.28
1213,Dagmar,Arathorn,Dagmar.Arathorn@supinfo.com,1996-03-23,Lyon,2019-2020,2,Talan,Bsc,67.75
1214,Chastity,Olnee,Chastity.Olnee@supinfo.com,1998-10-09,Lyon,2019-2020,1,RTE,Msc2,64.12
1215,Therine,August,Therine.August@supinfo.com,1995-11-27,Paris,2019-2020,2,EDF,Msc2,67.84
1216,Britni,Lalitta,Britni.Lalitta@supinfo.com,1997-05-06,Paris,2019-2020,1,LCL,Msc2,59.75
1217,Lorne,Lutero,Lorne.Lutero@supinfo.com,1996-02-26,Tours,2019-2020,2,LCL,Bsc,30.38
1218,Alyssa,Penelopa,Alyssa.Penelopa@supinfo.com,1995-01-01,Caen,2019-2020,1,Amazon,Bsc,84.32
1219,Brooks,Cimbura,Brooks.Cimbura@supinfo.com,1999-07-13,Lille,2019-2020,2,Capgemini,Bsc,36.65
